name,country,region
A/barnacle_goose/Sweden/SVA210511SZ0567/FB001840/M-2021|2.3.4.4b|2021-05-11,Sweden,Other
A/barnacle_goose/Sweden/SVA211102SZ0402/FB004395/M-2021|2.3.4.4b|2021-11-02,Sweden,Other
A/barnacle_goose/Sweden/SVA220105SZ0248/FB000038/K-2021|2.3.4.4b|2021-12-18,Sweden,Other
A/black-headed_gull/Germany-NI/AI05962/2021|2.3.4.4b|2021-10-12,Germany,Other
A/black_vulture/Georgia/23-032683-002/2022|2.3.4.4b|2022-01-01,USA,North America
A/black_vulture/Georgia/W23-823/2022|2.3.4.4b|2022-01-01,USA,North America
A/buzzard/Germany-NI/AI04429/2021|2.3.4.4b|2021-04-28,Germany,Other
A/buzzard/Germany-SH/AI07099/2021|2.3.4.4b|2021-11-09,Germany,Other
A/chicken/Connecticut/22-006118-001/2022|2.3.4.4b|2022-02-28,USA,North America
A/chicken/Delaware/22-005260-001/2022|2.3.4.4b|2022-02-21,USA,North America
A/chicken/Delaware/22-005260-002/2022|2.3.4.4b|2022-02-21,USA,North America
A/chicken/Delaware/22-005260-003/2022|2.3.4.4b|2022-02-21,USA,North America
A/chicken/Delaware/USDA-005260-001/2022|2.3.4.4b|2022-02-21,USA,North America
A/chicken/England/053052/2021|2.3.4.4b|2021-10-24,UK,Other
A/chicken/England/064131/2021|2.3.4.4b|2021-12-01,UK,Other
A/chicken/England/076198/2021|2.3.4.4b|2021-12-29,UK,Other
A/chicken/Germany-BB/AI06219/2021|2.3.4.4b|2021-10-29,Germany,Other
A/chicken/Germany-BB/AI06242/2021|2.3.4.4b|2021-11-02,Germany,Other
A/chicken/Germany-NI/AI01599/2021|2.3.4.4b|2021-02-23,Germany,Other
A/chicken/Kentucky/22-004416-001/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kentucky/22-004416-002/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kentucky/22-004416-003/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kentucky/USDA-004416-001/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kentucky/USDA-004416-002/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kentucky/USDA-004416-003/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Kirov/63-1V/2021|2.3.4.4b|2021-10-27,Russia,Other
A/chicken/Kirov/63-2V/2021|2.3.4.4b|2021-10-27,Russia,Other
A/chicken/Kirov/63-5V/2021|2.3.4.4b|2021-10-27,Russia,Other
A/chicken/Maine/22-005158-001/2022|2.3.4.4b|2022-02-17,USA,North America
A/chicken/Maine/22-005443-001/2022|2.3.4.4b|2022-02-20,USA,North America
A/chicken/Michigan/22-005440-002/2022|2.3.4.4b|2022-02-22,USA,North America
A/chicken/NL/FAV-0033/2021|2.3.4.4b|2021-12-21,Canada,North America
A/chicken/Netherlands/21038211-001/2021|2.3.4.4b|2021-11-05,Netherlands,Other
A/chicken/Scotland/068270/2021|2.3.4.4b|2021-12-09,UK,Other
A/chicken/Tyumen/47-66V/2021|2.3.4.4b|2021-10-11,Russia,Other
A/chicken/Tyumen/47-79V/2021|2.3.4.4b|2021-10-12,Russia,Other
A/chicken/Tyumen/81-97V/2021|2.3.4.4b|2021-10-30,Russia,Other
A/chicken/Virginia/22-004415-001/2022|2.3.4.4b|2022-02-11,USA,North America
A/chicken/Wales/053969/2021|2.3.4.4b|2021-10-30,UK,Other
